ID,Name,Lat,Lon,Type
352,"Shop No.11/12, Shivaji Rd, Old Panvel, Panvel",18.99111548,73.11514383,
353,Ghodbunder Rd,19.28635157,72.9076724,
354,"0, Western Express Hwy, Mashachapada, Mira Road East",19.27783432,72.88982331,
355,Sharda Prem CHS,19.17786563,72.9733075,
356,B3,19.22338058,72.9628415,
357,"0, Mahakali Caves Rd, Chakala, Andheri East",19.11556493,72.86083749,
358,"Wing-C, New Link Cross Rd, Anand Park, Dahisar West",19.26114561,72.8492783,
359,kalubai apts no 1 matoshri nager,19.18058706,73.05196948,
360,Shree Swami Samarth Marg,19.18001097,72.981827,
361,Mumbai - Agra National Hwy,19.23135418,73.03164858,
362,Jeevanprabha Soc.,19.23276792,72.84896646,
363,"H-7, Kusumargraj Marg, Tulsi Dham, Samata Nagar, Thane West",19.20493569,72.96407611,
364,Sant Namdev Rd,19.21251142,73.09776364,
365,Madh - Marve Rd,19.19239435,72.79161458,
366,Narayan Dairy Road,19.16782308,73.00664196,
367,Ixora,19.22745782,72.97265027,
368,Sion - Panvel Expy,19.05298767,72.94181121,
369,Sai Sparsh CHS,19.02678223,73.02302392,
370,Lokmanya Tilak Terminus Flyover,19.06934891,72.8927565,
371,Jari Mari Rd,19.15480049,72.96688285,
372,Panchsheel Co-operative Housing Society,19.24790103,73.14481432,
373,"C5, Mukund Company Rd, Bhola Nagar, Kalwa",19.1905255,73.0018029,
374,"0, Ghodbunder Rd, Patlipada, Thane West",19.24494503,72.97055989,
375,Shital Society,19.17761281,72.87891107,
376,Regency Estate,19.2012378,73.1114801,
377,"Om Sai Apartment, Near Shree Krishna Temple, PO-Katemanivali, Chinchpada Rd, Chinchpada Gaon",19.21643401,73.14226072,
378,Hemant,19.04095144,72.9318188,
379,"300, Rd No 9A, Chembur East",19.05530634,72.89826785,
380,"E10/21, Parasnath Complex Rd, Valpada, Dapode",19.25761758,73.04676205,
381,Railway Sports Ground Ln,18.99032589,72.82625969,
382,"200, Barrister Rajni Patel Marg, Nariman Point",18.92790968,72.82177573,
383,Mumbra Bypass Rd,19.20961868,73.0183847,
384,0-A,19.23951101,72.86655805,
385,Unnamed Road,19.27102617,72.90737589,
386,Sonarpada Naka to Star Colony MIDC Rd,19.19889523,73.09696479,
387,Bandra - Worli Sea Link,19.04147541,72.82821949,
388,Unnamed Road,19.25094931,72.95391972,
389,PM Kulkarni Rd,19.22501591,72.8405544,
390,Amcha Ghar School Road,19.27710989,72.79451081,
391,Sion - Panvel Expy,19.05781105,72.95679298,
392,"1C, Jagatguru Aadi Shankracharya Marg, Dr D Y Patil Vidyanagar, Sector 5, Nerul",19.04148463,73.02374235,
393,"300-23, SB Patil Rd, Santa Cruz, Potohar Nagar, Santacruz West",19.08155261,72.8300977,
394,"WING-B, Lal Bahadur Shastri Rd, Ambedkar Nagar, Kanjurmarg West, Bhandup West",19.12939084,72.92761101,
395,"MHADA Colony 19, Powai",19.12161057,72.90640441,
396,National Park - Kanheri Caves Rd,19.22037338,72.87995479,
397,E13,19.10481671,72.92037774,
398,0 To 24,19.11537938,72.83842132,
399,Gavdevi Mandir Rd,19.19085414,73.10240557,
400,Pranavanandji Marg,19.06156177,72.99552633,
401,"Janta Market Rd, APMC Fruits and Vegetable Market, Sector 19, Turbhe",19.07605367,73.01440954,
402,"0, Sion - Panvel Expy, Sector 30A, Vashi",19.0682942,73.00891935,
403,"22A Shah, Off Veera Desai Rd, Industrial Area, Andheri West",19.13399766,72.83397494,
404,Creek Rd,19.15712852,72.82358275,
405,Usha Sadan Building,18.91117556,72.82070223,
406,"0, Air India Rd, Kolivery Village, Vidya Nagari, Indian Airlines Staff Colony 2, Santacruz East",19.08196411,72.870448,
407,"0, Sahyadri Nagar",19.21150056,72.82850688,
408,Mahankali Rd,19.19486474,72.825128,
409,"0, Roadpali",19.04105903,73.09841538,
